title,snippet,budget,job_status,category2,subcategory2,job_type,url,date_created,id,skills,client.feedback,client.reviews_count,client.jobs_posted,client.past_hires,client.country
Statistics work / Data Mining on dataset of baskets (like Market Basket Analysis),"In this task, you will do a research.
You will get a dataset of 100k baskets (each basket has a list of products) and you have to find:
products that are common
products that lead to other product

This is very similar to Market Basket Analysis but you will need a deep knowledge of machine learning as well to develop more features on top of it.


Required knowledge:
statistics (e.g. significance calculation)
MBA (Market Basket Analysis)
Machine Learning

Default stack is Python + scikit-lean",0,Open,Data Science & Analytics,Data Mining & Management,Hourly,http://www.upwork.com/jobs/~01db2d67d1892b138d,2020-02-23T16:05:42+0000,~01db2d67d1892b138d,python; scikit-learn; python-numpy; pandas; data-science; data-mining,4.9371724224,49,60,62,Israel
A machine learning developer is needed to understand source code in python and analyse them,I need a freelancer with experience in machine learning to analyze a set of python files to understand their content and the purpose/goal of these files.,50,Open,Data Science & Analytics,Machine Learning,Fixed,http://www.upwork.com/jobs/~012fba11986f6e5a16,2020-02-23T15:56:28+0000,~012fba11986f6e5a16,tensorflow; python; machine-learning; deeplearn.js,4.9252217997,27,38,34,Canada
"JavaScript developer required: with exposure to service workers, machine learning & computer vision","JavaScript developer, with some exposure to service workers, and an interest in machine learning and computer vision to conduct R&D

We are building a progressive web app targeting popular web browsers, as well as iOS and Android.  

We are interested in executing real-time person tracking and cropping in-browser on mobile devices, and require an experienced engineer to write a 1-2 page report outlining how to do so. 

This report is part of an interview to select an engineer who will be invited to develop the said solution, so those selected to take part in this exercise are encouraged to show their expertise.

In the report you must consider:
- current limitations, and likely advances in interoperability on mobile device software to better accommodate PWAs
- 4G, 5G, and latency and its impact on real-time in-browser tracking 
- computational requirements for object detection, tracking, and cropping 
- lightweight but robust computer vision/machine learning algorithm options for execution on mobile devices
- proposed libraries, frameworks, and other relevant technologies for building the application
- the steps you would take to build the application 
Sample target devices: iPad Pro 2017, iPhone 7, Samsung Galaxy S20",30,Open,Data Science & Analytics,Machine Learning,Fixed,http://www.upwork.com/jobs/~01c2c09b152780a83f,2020-02-23T15:35:05+0000,~01c2c09b152780a83f,tensorflow; python; javascript; react-js; ios; computer-vision; android,0.0,0,0,0,United Kingdom
"NYC-based, well funded startup looking for long-term, dedicated, machine-learning developer","We're looking for a senior, experienced machine learning developer to develop models. 
The right person needs to have at least 5 years experience in machine-learning.

This is a long-term position, possibly full-time.
We code in python.

Requirements:

- Very good english
- 5 years of machine-learning in python
- Strong background in data-tools: SQLs, and others.",0,Open,Data Science & Analytics,Machine Learning,Hourly,http://www.upwork.com/jobs/~01eee124ddc159c67d,2020-02-23T13:20:16+0000,~01eee124ddc159c67d,scikit-learn; python; natural-language-toolkit-nltk; natural-language-processing; deep-learning; data-science; computer-vision; machine-learning,4.9157434874,48,109,121,United States
Python /expert Needed,I need an expert python developer for my machine learning project.,20,Open,"Web, Mobile & Software Dev",Scripts & Utilities,Fixed,http://www.upwork.com/jobs/~01054f97560f91ce41,2020-02-23T06:27:14+0000,~01054f97560f91ce41,web-scraping; python; machine-learning; django,0.0,0,0,0,India
NGram language models and comparisons of different corpora,NGram language models and comparisons of different corpora,20,Open,Data Science & Analytics,Machine Learning,Fixed,http://www.upwork.com/jobs/~017638df90600798c5,2020-02-23T05:34:34+0000,~017638df90600798c5,python,4.7758203034,131,741,263,India
Implement deep learning for predicting time-series images,"I have one set of images (A series) taken every day over the same place. But this data set has around 25% missing data; some days do not have any images. 
I also have another set of images (B series) taken every day over the same place. This data set is 100% complete, there are not any missing images . But, this images have 2 bands only whereas the first set of images (A series) have 3 bands.
The objective is to create a suitable deep learning model to predict (generate) missing images (A series) by modelling with A series and B series images.
There is temporal relation in both  A series and B series images as both were taken every day over the same place.",30,Open,Data Science & Analytics,Machine Learning,Fixed,http://www.upwork.com/jobs/~010ac8c09d2ded34dc,2020-02-23T05:08:51+0000,~010ac8c09d2ded34dc,keras; neural-networks; deep-neural-networks; artificial-neural-networks; python; artificial-intelligence; deep-learning; machine-learning,0.0,0,6,1,Japan
Build Word2Vec Style Machine Learning Model to predict Images using Session Co-occurrence,"My website:
I run a search engine for images where users can also save images to collections. My website is identical to Pinterest.com.

Currently I have a Co-Occurrence Word2Vec based model that is based on the Image Id's found within the Collection: `[image_id_5, image_id_2, image_id_16, ...]. This list would contain all the ids within the collection and each collection would be grouped into a parent list—it's the same way you train Word2Vec normally (document -> sentence (collection_id) -> word (image_id).

Project:
When a user views an image, there is a feed of images shown below and my goal is to improve those results. To do this, I'm looking to utilize click tracking data per session and Collection Co-Occurrence data to build a retrainable model.

Collection Co-occurrence images are images that have also been saved to the same collection as the query image. These usually are always similar to the query image. 

Problem: 
The problem with my Collection Co-occurrence model is that the relatedness of the items are too narrow. By utilizing a trained model on both the Co-occurrence data AND Image_ids that are viewed within a user's session, there is a strong potential to improve the results.

Pinterest has accomplished this by using a user’s browsing session on Pinterest as the training data. Imagine each user session is a sentence with Image Ids as words. Basically if in a browsing session you visit pins A then B then C then D, it trains the network such that given A it predicts B, etc. This also helps capture semantic similarity. 

Here is a paper about how they accomplished it: 
https://medium.com/the-graph/applying-deep-learning-to-related-pins-a6fee3c92f5e
https://arxiv.org/pdf/1702.07969.pdf
https://medium.com/pinterest-engineering/an-update-on-pixie-pinterests-recommendation-system-6f273f737e1b

Deliverables:
I'm looking at creating a simplified version of this using the word2vec method, session data, biased random walks. 

Deliverables:
- Python 3.6
- Word2Vec based model (can be built custom using Tensorflow)
- I'm open to utilizing Keras 
- If indexing is necessary, ideally we'd use Faiss. At the very least we'd use Annoy.
- Models would be trained on a CPU server and we're only dealing with 1 million images right now.",400,Open,Data Science & Analytics,Machine Learning,Fixed,http://www.upwork.com/jobs/~01a999f99a1f62a366,2020-02-23T00:36:57+0000,~01a999f99a1f62a366,deep-neural-networks; tensorflow; artificial-neural-networks; python; artificial-intelligence; deep-learning; machine-learning,4.8084294431,42,83,48,United States
Help in development of Bayesian network models or graphical model,Development of graphical models in Python. Description will be added if interested. A person with Bayesian statics preferred.,30,Open,Data Science & Analytics,Machine Learning,Fixed,http://www.upwork.com/jobs/~01cbde3ead141fb336,2020-02-23T00:14:26+0000,~01cbde3ead141fb336,bayesian-analysis; python,4.9085062241,23,156,30,United States
"Apache Spark, Airflow, Python","We're looking for 3-5+ years senior engineer with deep Apache Spark experience.  Should be very senior in Python, 5+ years experience with a focus on machine learning.  We have a deep analytics package build in Python and a running system that is a MVP that needs to be commercialized.  One of the first main tasks is rebuilding our internal libraries to support more friendly use for developers. Experience with Databricks / Spark would also be helpful.",0,Open,Data Science & Analytics,Machine Learning,Hourly,http://www.upwork.com/jobs/~01a78865ae55dbad0f,2020-02-22T20:11:22+0000,~01a78865ae55dbad0f,python; spark-mllib; scikit-learn; pyspark; apache-spark,4.8197601951,46,194,151,United States
"Digital Image Processing in Matlab (Soil Analysis, pH and Texture)","I basically want to create a matlab simulation that tells if a soil is good for rice farming or not.
So the two featuress of the soil to be tested are the pH and texture of the soil samples.

So the output of my work will be 
1. approximate pH value of the test (input) soil